Zip,InstallationsPerZip,Households,Pop,AverageIncome,Centile_HHI,Sola_Penetration,Centile_Solar_Penetration,SolarInstalled,Average HH Size,Centile_HHSize,Electric Utility,OwnerOccupancyPercentage,OwnerDetachedpercentage
14424,56,8255,24767,68369.4315,5,0.006783767,9,1,2.21,10,Rochester Gas and Electric,0.6792,0.826048621
14428,12,2509,7527,72038.8916,4,0.004782782,9,1,2.4,9,National Grid,0.843,0.849177984
14432,4,2006,6018,61405.6278,6,0.001994018,10,1,2.6,7,NYS Electric and Gas,0.7601,0.752098489
14471,7,890,2671,62574.6405,6,0.007865169,9,1,2.08,10,Rochester Gas and Electric,0.9167,0.903114187
14476,11,789,2368,67494.8523,5,0.013941698,7,1,2.62,7,National Grid,0.809,0.959183673
14485,6,1526,4579,64598.9349,6,0.003931848,10,1,2.35,9,National Grid,0.736,0.875821768
14505,7,1866,5598,62979.5948,6,0.00375134,10,1,2.43,8,NYS Electric and Gas,0.8526,0.905628198
14507,2,441,1324,53671,7,0.004535147,9,1,2.26,10,NYS Electric and Gas,0.8863,0.867617108
14512,21,1553,4659,60517.6328,6,0.013522215,7,1,2.41,9,NYS Electric and Gas,0.8545,0.839785587
14513,11,4856,14569,52972.7387,7,0.002265239,10,1,2.35,9,NYS Electric and Gas,0.6793,0.904676719
14519,13,3614,10843,74777.7559,4,0.003597122,10,1,2.41,8,Rochester Gas and Electric,0.8409,0.863298663
14525,6,966,2898,66985.7315,5,0.00621118,9,1,2.77,5,National Grid,0.8733,0.901714286
14526,13,6528,19584,88163.6055,2,0.001991422,10,1,2.53,7,Rochester Gas and Electric,0.8495,0.876458576
14530,4,2531,7595,50285.007,7,0.001580403,10,1,2.34,9,NYS Electric and Gas,0.7391,0.896839595
14546,9,1646,4940,68339.3181,5,0.005467801,9,1,2.41,8,National Grid,0.67,0.913432836
14569,7,2176,6528,53058.1519,7,0.003216912,10,1,2.24,10,NYS Electric and Gas,0.6083,0.949816401
14588,0,201,605,56724.042,6,0,10,0,1.3,10,Other,0.55,1
14612,9,11450,34351,65560.269,5,0.000786026,10,1,2.37,9,Rochester Gas and Electric,0.7453,0.940037244
14619,0,5056,15169,47125.2948,7,0,10,0,2.62,7,Other,0.5628,0.897081413
14620,19,6252,18758,37256.9999,7,0.003039028,10,1,1.9,10,Rochester Gas and Electric,0.3433,0.831060606
14624,18,12645,37935,70777.1962,5,0.001423488,10,1,2.49,8,Rochester Gas and Electric,0.8078,0.918137901
14816,0,155,466,74724.6465,4,0,10,0,2.68,6,Other,0.9091,1
14842,2,306,918,68532.0312,5,0.006535948,9,1,2.38,9,NYS Electric and Gas,0.9705,0.750759878
14846,1,258,775,52197.3258,7,0.003875969,10,1,2.29,10,Rochester Gas and Electric,0.8222,0.741134752
14850,550,20928,62786,65782.7637,5,0.026280581,3,1,2.29,9,NYS Electric and Gas,0.4499,0.806173857
14878,2,247,742,67647.3723,5,0.008097166,9,1,2.44,8,NYS Electric and Gas,0.8719,0.928909953
14879,2,742,2228,57105.4005,6,0.002695418,10,1,2.36,9,NYS Electric and Gas,0.7519,0.752124646
14881,2,45,137,65782,5,0.044444444,1,1,1.9,10,NYS Electric and Gas,0.2308,0.515151515
14893,0,6,18,66180,5,0,10,0,2,10,Other,1,1
14897,0,300,901,49757.7464,7,0,10,0,2.34,9,Other,0.7995,0.828571429
14711,1,591,1775,53364.5942,7,0.001692047,10,1,2.45,8,Rochester Gas and Electric,0.7097,0.81993007
14732,2,60,181,50275,7,0.033333333,2,1,2.37,9,NYS Electric and Gas,1,1
14736,1,106,320,49185,7,0.009433962,8,1,2.26,10,National Grid,0.6792,0.847222222
14740,0,525,1576,53514.7227,7,0,10,0,2.43,8,Other,0.7953,0.86332574
14742,0,91,275,64153,6,0,10,0,1.16,10,Other,0.7959,1
14743,3,611,1834,54817.8162,6,0.004909984,9,1,2.61,7,National Grid,0.8189,0.761904762
14747,1,791,2375,50256.0703,7,0.001264223,10,1,2.48,8,National Grid,0.8346,0.721784777
14752,0,65,196,55662,6,0,10,0,1.58,10,Other,1,0.897435897
14767,1,681,2045,53500.3335,7,0.001468429,10,1,3,3,National Grid,0.8234,0.882882883
14777,0,244,732,54379.623,6,0,10,0,2.22,10,Other,0.8373,0.829959514
14804,1,346,1040,39438.4261,7,0.002890173,10,1,2.62,7,NYS Electric and Gas,0.8722,0.877034358
14809,2,860,2582,51889.1892,7,0.002325581,10,1,2.34,9,NYS Electric and Gas,0.7778,0.860969388
14830,14,6501,19504,59922.8888,6,0.002153515,10,1,2.26,10,NYS Electric and Gas,0.6308,0.935631762
14841,12,303,909,60808.5262,6,0.03960396,1,1,2.38,9,NYS Electric and Gas,0.9081,0.783236994
14864,1,446,1340,60871.3304,6,0.002242152,10,1,2.2,10,NYS Electric and Gas,0.8728,0.810933941
14877,1,164,492,47968.4476,7,0.006097561,9,1,2.21,10,NYS Electric and Gas,0.7837,0.926380368
14884,1,4,13,2632.1652,7,0.25,1,1,1.85,10,NYS Electric and Gas,0.84,0.916666667
11727,188,8730,26192,93184.1332,2,0.021534937,5,1,2.65,6,PSEG Long Island,0.6319,0.70548428
11739,11,418,1256,183585,7,0.026315789,3,1,3,3,PSEG Long Island,0.9662,0.989082969
11741,276,9450,28352,102911.3085,10,0.029206349,3,1,3.06,2,PSEG Long Island,0.7841,0.85882514
11747,80,5367,16103,146664.3986,8,0.014905906,7,1,2.71,6,PSEG Long Island,0.8717,0.68221293
11749,60,1015,3047,91445.3032,2,0.0591133,1,1,3.24,1,PSEG Long Island,0.8962,0.771775083
11766,84,3204,9613,130622.0732,8,0.026217228,3,1,2.9,4,PSEG Long Island,0.9449,0.818775708
11782,157,5240,15721,109006.864,9,0.029961832,3,1,2.72,6,PSEG Long Island,0.8168,0.917553794
11789,25,2448,7345,95044.8204,1,0.010212418,8,1,2.93,3,PSEG Long Island,0.8824,0.981651376
11790,96,5869,17609,121840.245,9,0.016357131,6,1,2.85,5,PSEG Long Island,0.9116,0.929193401
11937,225,4405,13215,129902.2358,8,0.05107832,1,1,2.43,8,PSEG Long Island,0.7659,0.976888155
11954,130,1281,3844,92271.5236,2,0.101483216,1,1,1.95,10,PSEG Long Island,0.7899,0.92369186
11980,29,1435,4305,89629.8211,2,0.020209059,5,1,2.71,6,PSEG Long Island,0.9281,0.613304094
12020,158,8121,24363,65897.9412,5,0.019455732,5,1,2.47,8,National Grid,0.7452,0.758197159
12022,8,336,1008,62944,6,0.023809524,4,1,2.44,8,NYS Electric and Gas,0.7519,0.931271478
12041,4,137,412,103358,10,0.02919708,3,1,2.54,7,National Grid,1,0.78680203
12054,76,5184,15554,105318.4037,10,0.014660494,7,1,2.54,7,National Grid,0.7737,0.928433269
12076,8,459,1378,60349.2851,6,0.017429194,6,1,2.43,8,NYS Electric and Gas,0.874,0.820738137
12077,19,1994,5982,94696.4202,1,0.009528586,8,1,2.56,7,National Grid,0.7348,0.862844295
12089,3,25,77,61939,6,0.12,1,1,1.94,10,National Grid,1,1
12093,2,499,1499,54964.0551,6,0.004008016,10,1,2.46,8,National Grid,0.7924,0.837328767
12130,8,325,976,87645,3,0.024615385,4,1,2.89,4,National Grid,0.8873,1
12138,24,1060,3180,63572.3238,6,0.022641509,4,1,2.46,8,National Grid,0.897,0.860641892
12140,16,551,1654,78198,4,0.029038113,3,1,2.56,7,National Grid,0.9296,0.986742424
12144,137,6092,18277,70710.4652,5,0.02248851,4,1,2.31,9,National Grid,0.6127,0.836462636
12151,4,235,707,84490.6284,3,0.017021277,6,1,2.16,10,NYS Electric and Gas,0.7886,0.916
12160,8,130,391,31409.9688,7,0.061538462,1,1,2.65,6,National Grid,0.8925,0.845938375
12161,1,44,132,104261,10,0.022727273,4,1,2.12,10,National Grid,0.6585,1
12167,4,493,1481,34595.8125,7,0.00811359,9,1,2.35,9,NYS Electric and Gas,0.7278,0.876657825
12168,16,667,2002,71874.125,4,0.023988006,4,1,2.37,9,NYS Electric and Gas,0.8152,0.837837838
12169,5,104,312,72566.6756,4,0.048076923,1,1,2.31,9,NYS Electric and Gas,0.8667,0.692307692
12173,27,600,1801,67604.174,5,0.045,1,1,2.48,8,National Grid,0.7934,0.96925859
12176,3,55,166,53812.849,7,0.054545455,1,1,3.16,1,Central Hudson Gas and Electric,0.8607,0.952380952
12177,2,162,488,62174.1624,6,0.012345679,8,1,2.27,10,National Grid,0.9734,0.97265625
12189,58,5531,16593,61486.1094,6,0.01048635,8,1,2.23,10,National Grid,0.436,0.654249127
12192,12,591,1773,67901.9397,5,0.020304569,5,1,2.9,4,Central Hudson Gas and Electric,0.8217,0.825423729
12193,27,685,2056,71007.9744,5,0.039416058,1,1,2.51,8,National Grid,0.9647,0.854816825
12196,12,918,2754,85710.6577,3,0.013071895,7,1,2.63,7,National Grid,0.9171,0.955237243
12302,151,8902,26706,77682.7877,4,0.01696248,6,1,2.55,7,National Grid,0.7552,0.927846535
12413,13,967,2901,56898.2104,6,0.01344364,7,1,2.29,9,Central Hudson Gas and Electric,0.6499,0.835561497
12429,7,109,327,84728,3,0.064220183,1,1,2.78,5,Central Hudson Gas and Electric,0.9565,1
12438,0,34,104,53354,7,0,10,0,1.77,10,Other,1,1
12443,29,1293,3880,91054.8317,2,0.022428461,4,1,2.41,8,Central Hudson Gas and Electric,0.9201,0.888176638
12444,9,176,529,58063,6,0.051136364,1,1,1.75,10,Central Hudson Gas and Electric,0.867,0.878306878
12453,2,130,390,72364,4,0.015384615,7,1,2.88,4,Central Hudson Gas and Electric,0.8552,1
12466,12,798,2394,73425,4,0.015037594,7,1,2.11,10,Central Hudson Gas and Electric,0.8134,0.677419355
12469,9,240,720,66308.1527,5,0.0375,2,1,2.29,9,National Grid,0.9515,0.911564626
12475,4,117,351,73342.8656,4,0.034188034,2,1,1.95,10,Central Hudson Gas and Electric,0.9187,0.796460177
12480,0,200,601,58735.5269,6,0,10,0,1.91,10,Other,0.8167,0.795275591
12487,20,1082,3246,83707.3391,3,0.018484288,6,1,2.39,9,Central Hudson Gas and Electric,0.6915,0.916570104
12492,3,93,281,58063,6,0.032258065,2,1,2.23,10,Central Hudson Gas and Electric,0.9167,0.951048951
12495,4,90,272,90820,2,0.044444444,1,1,1.8,10,Central Hudson Gas and Electric,0.7301,1
12522,13,1748,5244,74118.0238,4,0.007437071,9,1,2.42,8,NYS Electric and Gas,0.7217,0.645098039
12524,62,3968,11904,78091.3846,4,0.015625,7,1,2.45,8,Central Hudson Gas and Electric,0.6958,0.610511159
12526,38,1199,3597,76084.0043,4,0.031693078,2,1,2.49,8,National Grid,0.759,0.923282783
12533,171,7445,22335,112998.9606,9,0.022968435,4,1,3.08,2,Central Hudson Gas and Electric,0.922,0.868085106
12549,70,2993,8981,83233.8484,3,0.023387905,4,1,3.03,3,NYS Electric and Gas,0.806,0.926837607
12553,191,7362,22087,82683.0553,3,0.025944037,4,1,2.73,6,Central Hudson Gas and Electric,0.7248,0.733273327
12561,225,5624,16872,82856.4214,3,0.040007112,1,1,2.47,8,Central Hudson Gas and Electric,0.6156,0.811486307
12566,81,3367,10103,85040.0149,3,0.024057024,4,1,2.85,4,Central Hudson Gas and Electric,0.7987,0.945196211
12574,1,65,196,85640,3,0.015384615,7,1,2.21,10,Central Hudson Gas and Electric,0.7267,1
12575,26,723,2171,96766.189,1,0.035961272,2,1,3.25,1,Central Hudson Gas and Electric,0.9587,0.876075731
12592,9,428,1286,70624.232,5,0.021028037,5,1,2.35,9,Central Hudson Gas and Electric,0.5925,0.87732342
12604,1,180,542,80617,3,0.005555556,9,1,2.538368177,7,Central Hudson Gas and Electric,1,1
12725,0,56,170,37847.4404,7,0,10,0,2.13,10,Other,0.8022,0.863013699
12737,4,490,1471,62473,6,0.008163265,9,1,2.61,7,Orange and Rockland Utilities,0.8464,0.933434191
12738,1,115,345,68203.2608,5,0.008695652,9,1,3.05,2,NYS Electric and Gas,0.6408,0.962121212
12754,7,2238,6715,54670.7341,6,0.003127793,10,1,2.52,7,NYS Electric and Gas,0.5013,0.840091813
12764,9,554,1664,66721.616,5,0.016245487,6,1,2.11,10,NYS Electric and Gas,0.7843,0.840630473
