,TotalOccupied,OwnerOccupancyPercentage,TotalOccupiedbyOwner,OccupiedbyOwnerdetached homes,OwnerDetachedpercentage,OccupiedbyOwnerSemiDetached,OccupiedbyOwnerMultiIUnits,OccupiedbyOwnerMobileorBoat,TotalOccupiedbyRenter,OccupiedbyRenter detached homes,OccupiedbyRenterSemiDetached,OccupiedbyRenterMultiIUnits,OccupiedbyRenterMobileorBoat
11433,10419,0.4058,4228,2372,0.56102176,748,1108,0,6191,533,259,5399,0
11434,20569,0.4920,10119,5231,0.516948315,1746,3091,51,10450,620,268,9496,66
11435,18318,0.3590,6576,2346,0.356751825,663,3541,26,11742,590,168,10946,38
11436,5396,0.6974,3763,2525,0.671007175,529,709,0,1633,372,187,1064,10
11501,7397,0.6624,4900,3943,0.804693878,109,819,29,2497,363,7,2127,0
11507,2372,0.9705,2302,2233,0.970026064,5,64,0,70,59,0,11,0
11509,914,0.8775,802,736,0.917705736,38,28,0,112,97,0,15,0
11510,10481,0.8311,8711,8144,0.934909884,205,362,0,1770,651,29,1090,0
11514,1748,0.6682,1168,1114,0.953767123,8,21,25,580,152,0,428,0
11516,2149,0.6282,1350,1172,0.868148148,20,158,0,799,141,61,597,0
11518,3826,0.7867,3010,2380,0.790697674,12,618,0,816,182,0,634,0
11520,13654,0.6618,9036,7271,0.804670208,157,1575,33,4618,770,61,3770,17
11530,9329,0.9241,8621,7781,0.902563508,227,604,9,708,199,42,467,0
11542,9739,0.5322,5183,4125,0.795871117,283,739,36,4556,955,199,3353,49
11545,4267,0.8908,3801,3567,0.938437253,110,61,63,466,268,17,181,0
11547,279,0.6380,178,178,1,0,0,0,101,51,0,50,0
11548,387,0.7416,287,279,0.972125436,8,0,0,100,87,0,13,0
11550,16940,0.4436,7514,6666,0.887143998,252,584,12,9426,1462,232,7732,0
11552,7044,0.8626,6076,5710,0.939763002,54,288,24,968,585,15,368,0
11553,5989,0.7696,4609,4296,0.93208939,77,236,0,1380,555,7,813,5
11554,12386,0.8641,10703,9201,0.859665514,274,1228,0,1683,586,70,1011,16
11557,2504,0.9305,2330,1934,0.830042918,39,356,1,174,82,12,80,0
11558,3110,0.7444,2315,1911,0.825485961,97,298,9,795,283,19,493,0
11559,2652,0.8088,2145,1856,0.865268065,10,279,0,507,119,5,383,0
11560,2347,0.7878,1849,1815,0.981611682,15,10,9,498,271,3,224,0
11561,16036,0.5831,9350,5500,0.588235294,469,3381,0,6686,890,331,5465,0
11563,8337,0.7426,6191,4771,0.770634792,52,1368,0,2146,317,35,1794,0
11565,3252,0.9280,3018,2952,0.978131213,0,58,8,234,47,0,187,0
11566,11076,0.9445,10461,10116,0.967020361,120,215,10,615,364,11,240,0
11568,942,0.8864,835,835,1,0,0,0,107,87,0,16,4
11569,551,0.7405,408,399,0.977941176,9,0,0,143,134,0,9,0
11570,10079,0.7177,7234,5957,0.823472491,63,1206,8,2845,307,57,2481,0
11572,10238,0.8733,8941,7974,0.89184655,240,683,44,1297,465,45,787,0
11575,4283,0.6799,2912,2689,0.92342033,30,193,0,1371,625,0,746,0
11576,4476,0.9004,4030,3074,0.762779156,805,123,28,446,83,29,334,0
11577,4223,0.8932,3772,3254,0.862672322,179,339,0,451,79,125,236,11
11579,2039,0.7160,1460,1388,0.950684932,12,60,0,579,198,12,369,0
11580,12527,0.8120,10172,8939,0.8787849,286,943,4,2355,776,121,1458,0
11581,6679,0.8352,5578,4930,0.88382933,164,484,0,1101,181,117,803,0
11590,13858,0.7475,10359,8852,0.854522637,353,1154,0,3499,1183,34,2218,64
11596,3621,0.8451,3060,2926,0.95620915,0,134,0,561,145,0,416,0
11598,3780,0.8950,3383,3119,0.921962755,46,218,0,397,86,12,299,0
11691,19390,0.2520,4887,2248,0.459995908,753,1886,0,14503,596,447,13460,0
11692,6140,0.3378,2074,399,0.192381871,459,1216,0,4066,136,299,3596,35
11693,4497,0.4459,2005,815,0.406483791,181,997,12,2492,239,69,2184,0
11694,8136,0.5364,4364,2594,0.594408799,207,1546,17,3772,388,129,3255,0
11697,1584,0.9684,1534,1516,0.988265971,0,18,0,50,41,0,9,0
11701,8862,0.6449,5715,4757,0.832370954,328,345,285,3147,1216,105,1638,188
11702,5388,0.7771,4187,3936,0.940052544,164,87,0,1201,409,49,743,0
11703,5597,0.8074,4519,4040,0.894003098,190,280,9,1078,442,41,595,0
11704,13193,0.7469,9854,8994,0.912725797,247,574,39,3339,1276,152,1911,0
11705,2595,0.7765,2015,1938,0.9617866,43,24,10,580,154,10,416,0
11706,19686,0.6910,13603,12019,0.883555098,1045,364,175,6083,2418,296,3325,44
11709,2482,0.8211,2038,1985,0.973994112,30,23,0,444,267,9,168,0
11710,11482,0.8984,10315,9761,0.946291808,49,412,93,1167,479,21,667,0
11713,3445,0.5922,2040,2002,0.981372549,32,6,0,1405,581,134,690,0
11714,7903,0.8832,6980,6025,0.863180516,158,797,0,923,470,0,453,0
11715,1585,0.8669,1374,1207,0.87845706,108,59,0,211,170,0,30,11
11716,3830,0.7478,2864,2365,0.825768156,88,92,319,966,87,34,823,22
11717,13886,0.7008,9732,9204,0.945745993,152,376,0,4154,2158,55,1933,8
11718,1069,0.9018,964,964,1,0,0,0,105,19,0,86,0
11719,1091,0.8203,895,890,0.994413408,5,0,0,196,82,8,106,0
11720,8978,0.8538,7665,7503,0.978864971,78,84,0,1313,625,67,621,0
11721,2230,0.9296,2073,2041,0.984563435,17,0,15,157,130,0,27,0
11722,9954,0.6379,6350,4922,0.77511811,805,623,0,3604,1423,44,2114,23
11724,998,0.9519,950,940,0.989473684,10,0,0,48,48,0,0,0
11725,9656,0.9035,8724,8201,0.940050436,400,113,10,932,223,58,624,27
11726,6131,0.6262,3839,3248,0.84605366,199,373,19,2292,986,84,1222,0
11727,11225,0.6319,7093,5004,0.70548428,1371,688,30,4132,565,637,2910,20
11729,9444,0.8144,7691,7041,0.915485633,381,256,13,1753,661,50,1036,6
11730,4474,0.8932,3996,3584,0.896896897,140,272,0,478,108,0,334,36
11731,9953,0.8904,8862,8737,0.985894832,56,69,0,1091,402,68,621,0
11732,1486,0.7160,1064,1064,1,0,0,0,422,45,83,294,0
11733,5673,0.9409,5338,4954,0.928062945,306,78,0,335,197,73,65,0
11735,10999,0.8089,8897,7945,0.89299764,212,725,15,2102,460,62,1580,0
11738,5253,0.8180,4297,4231,0.984640447,0,56,10,956,389,46,521,0
11739,474,0.9662,458,453,0.989082969,5,0,0,16,0,0,16,0
11740,3327,0.7782,2589,2484,0.959443801,43,62,0,738,185,47,506,0
11741,9314,0.7841,7303,6272,0.85882514,626,265,140,2011,465,85,1455,6
11742,4590,0.8096,3716,2861,0.769913886,379,476,0,874,248,11,615,0
11743,15265,0.8600,13128,12221,0.93091103,514,384,9,2137,1012,232,893,0
11746,21250,0.8084,17178,16430,0.956455932,290,447,11,4072,2465,294,1272,41
11747,7133,0.8717,6218,4242,0.68221293,1236,692,48,915,239,150,526,0
11749,1012,0.8962,907,700,0.771775083,125,82,0,105,62,14,29,0
11751,5233,0.8141,4260,3693,0.866901408,154,367,46,973,273,20,680,0
11752,2998,0.8816,2643,2559,0.968217934,27,57,0,355,149,15,191,0
11753,4118,0.8720,3591,2915,0.811751601,630,46,0,527,120,51,356,0
11754,6626,0.8346,5530,5033,0.910126582,257,212,28,1096,454,111,531,0
11755,4055,0.8192,3322,3032,0.912703191,136,145,9,733,332,32,369,0
11756,13506,0.9102,12293,11991,0.975433173,64,214,24,1213,766,0,447,0
11757,15027,0.7818,11748,10451,0.889598229,212,1063,22,3279,1161,187,1931,0
11758,18370,0.8936,16415,15740,0.958879074,261,393,21,1955,772,110,1053,20
11762,7344,0.9680,7109,6754,0.9500633,179,96,80,235,189,0,46,0
11763,9362,0.8122,7604,6644,0.873750658,548,412,0,1758,723,133,902,0
11764,4251,0.9513,4044,3790,0.9371909,168,86,0,207,98,0,109,0
11765,273,0.8718,238,233,0.978991597,2,3,0,35,24,0,11,0
11766,4374,0.9449,4133,3384,0.818775708,633,116,0,241,91,0,150,0
11767,4696,0.8805,4135,3829,0.925997582,258,48,0,561,223,25,313,0
11768,7846,0.8421,6607,6381,0.965793855,93,111,22,1239,644,5,590,0
11769,3322,0.8666,2879,2432,0.844737756,230,217,0,443,76,0,367,0
11770,43,1.0000,43,42,0.976744186,0,1,0,0,0,0,0,0
11771,3390,0.7761,2631,2158,0.820220448,117,347,9,759,164,104,491,0
11772,16604,0.6314,10483,9778,0.932748259,132,573,0,6121,2185,129,3799,8
11776,8180,0.7991,6537,5378,0.822701545,501,638,20,1643,424,64,1155,0
11777,3587,0.7650,2744,2230,0.812682216,367,147,0,843,161,47,635,0
11778,4294,0.8656,3717,3563,0.958568738,16,129,9,577,454,0,123,0
11779,13142,0.7625,10021,9396,0.937630975,201,411,13,3121,901,118,2071,31
11780,5164,0.8974,4634,4109,0.886706949,354,171,0,530,242,70,215,3
11782,5405,0.8168,4415,4051,0.917553794,205,159,0,990,169,34,787,0
11783,7076,0.9112,6448,6184,0.959057072,48,216,0,628,377,31,220,0
11784,8141,0.8371,6815,6288,0.92267058,82,445,0,1326,473,18,828,7
11786,1979,0.9343,1849,1824,0.986479178,11,2,12,130,104,0,26,0
11787,11990,0.8773,10519,9619,0.914440536,600,289,11,1471,413,30,1019,9
11788,5620,0.8160,4586,4192,0.91408635,215,179,0,1034,120,35,879,0
11789,2594,0.8824,2289,2247,0.981651376,0,42,0,305,253,0,52,0
11790,4787,0.9116,4364,4055,0.929193401,256,53,0,423,202,72,142,7
11791,8073,0.9210,7435,7077,0.951849361,228,97,33,638,394,56,188,0
11792,3009,0.9395,2827,2797,0.989388044,11,10,9,182,125,17,0,40
11793,10524,0.9539,10039,9630,0.95925889,169,233,7,485,190,6,289,0
11795,8228,0.9415,7747,7570,0.977152446,117,45,15,481,311,57,113,0
11796,1261,0.8311,1048,996,0.950381679,0,46,6,213,29,0,184,0
11797,3054,0.8756,2674,1767,0.660807779,534,373,0,380,13,58,309,0
11798,4059,0.6832,2773,2681,0.966822935,25,67,0,1286,978,38,264,6
11801,12848,0.8422,10820,10523,0.972550832,73,201,23,2028,1017,43,968,0
11803,9686,0.9371,9077,8432,0.92894128,222,390,33,609,209,16,384,0
11804,1691,0.8924,1509,1499,0.993373095,0,0,10,182,10,0,172,0
11901,9899,0.6820,6751,4991,0.739297882,523,123,1114,3148,1104,227,1526,291
11930,628,0.8185,514,498,0.968871595,9,7,0,114,54,0,60,0
11931,18,1.0000,18,18,1,0,0,0,0,0,0,0,0
11932,445,0.8090,360,352,0.977777778,0,8,0,85,57,0,28,0
11933,2717,0.8870,2410,1803,0.74813278,101,140,366,307,169,33,84,21
11934,2564,0.8576,2199,2179,0.990904957,20,0,0,365,322,0,43,0
11935,1282,0.8690,1114,1103,0.990125673,0,0,11,168,158,0,10,0
11937,6327,0.7659,4846,4734,0.976888155,19,55,38,1481,969,23,438,51
11939,450,0.8978,404,398,0.985148515,3,3,0,46,42,4,0,0
11940,1892,0.7389,1398,1338,0.957081545,30,30,0,494,176,7,311,0
11941,764,0.7029,537,328,0.610800745,201,0,8,227,51,44,86,46
11942,1597,0.8685,1387,1263,0.910598414,0,77,47,210,199,0,0,11
11944,1851,0.6402,1185,958,0.808438819,40,187,0,666,187,56,423,0
11946,5326,0.7163,3815,3641,0.954390564,42,87,45,1511,872,34,605,0
11947,75,1.0000,75,75,1,0,0,0,0,0,0,0,0
11948,470,0.9319,438,438,1,0,0,0,32,32,0,0,0
11949,4809,0.8492,4084,3396,0.831537708,475,149,64,725,162,15,548,0
11950,5177,0.7804,4040,3904,0.966336634,37,72,27,1137,994,0,138,5
11951,4488,0.6930,3110,3077,0.989389068,24,9,0,1378,1232,14,132,0
11952,1892,0.8150,1542,1542,1,0,0,0,350,289,0,0,61
11953,5204,0.7354,3827,2597,0.678599425,593,637,0,1377,310,59,1008,0
11954,1742,0.7899,1376,1271,0.92369186,0,92,13,366,239,19,81,27
11955,1383,0.4642,642,313,0.487538941,225,104,0,741,50,37,654,0
11956,161,0.7329,118,118,1,0,0,0,43,43,0,0,0
11957,359,0.9192,330,327,0.990909091,0,0,3,29,25,0,4,0
11958,207,0.9517,197,197,1,0,0,0,10,10,0,0,0
11959,398,0.8367,333,317,0.951951952,0,16,0,65,44,0,21,0
11960,360,0.8861,319,319,1,0,0,0,41,41,0,0,0
11961,5156,0.8445,4354,2836,0.651355076,1070,448,0,802,277,113,412,0
11962,178,0.9775,174,170,0.977011494,4,0,0,4,4,0,0,0
11963,2856,0.7892,2254,2216,0.983141083,0,38,0,602,466,0,136,0
11964,812,0.9002,731,731,1,0,0,0,81,51,0,30,0
11965,251,0.8367,210,210,1,0,0,0,41,41,0,0,0
11967,8049,0.8353,6723,6616,0.984084486,65,31,11,1326,1291,0,35,0
11968,4185,0.7419,3105,2863,0.922061192,120,122,0,1080,840,60,170,10
11970,264,0.7386,195,144,0.738461538,0,51,0,69,69,0,0,0
11971,2657,0.8935,2374,2299,0.968407751,0,75,0,283,221,16,46,0
11972,451,0.7871,355,330,0.929577465,0,25,0,96,85,0,0,11
11975,153,0.8824,135,135,1,0,0,0,18,18,0,0,0
11976,999,0.9269,926,909,0.981641469,17,0,0,73,73,0,0,0
11977,958,0.8382,803,666,0.829389788,109,28,0,155,149,6,0,0
11978,1279,0.7482,957,731,0.76384535,89,102,35,322,157,31,134,0
11980,1474,0.9281,1368,839,0.613304094,280,249,0,106,67,13,26,0
12007,16,1.0000,16,16,1,0,0,0,0,0,0,0,0
12008,186,0.9032,168,168,1,0,0,0,18,2,0,16,0
12009,2850,0.7811,2226,2074,0.931716083,25,78,49,624,125,25,457,17
12010,11955,0.6248,7469,5782,0.774133083,115,1079,493,4486,607,200,3566,113
12015,1063,0.7883,838,809,0.965393795,8,6,15,225,73,2,135,15
12017,134,0.9701,130,114,0.876923077,2,3,11,4,4,0,0,0
12018,2983,0.8719,2601,2426,0.932718185,0,73,102,382,268,11,103,0
12019,5693,0.7989,4548,4488,0.986807388,33,27,0,1145,194,25,862,64
12020,12564,0.7452,9363,7099,0.758197159,836,195,1233,3201,758,212,2051,180
12022,387,0.7519,291,271,0.931271478,0,12,8,96,13,0,77,6
12023,862,0.9200,793,686,0.865069357,4,11,92,69,52,0,0,17
12024,27,1.0000,27,27,1,0,0,0,0,0,0,0,0
12025,2269,0.8215,1864,1553,0.833154506,0,28,283,405,147,0,129,129
12027,1410,0.8631,1217,1201,0.986852917,8,8,0,193,70,7,116,0
12028,346,0.8671,300,262,0.873333333,0,0,38,46,19,0,11,16
12029,387,0.8424,326,307,0.941717791,0,0,19,61,40,10,8,3
12031,48,0.9375,45,18,0.4,0,11,16,3,0,0,3,0
12032,360,0.8944,322,310,0.962732919,3,3,6,38,27,0,3,8
12033,3173,0.7870,2497,2196,0.879455346,56,60,185,676,143,13,505,15
12035,344,0.7442,256,210,0.8203125,0,0,46,88,15,0,73,0
12036,96,0.9063,87,62,0.712643678,0,0,25,9,0,0,6,3
12037,1697,0.7166,1216,1060,0.871710526,0,49,107,481,127,23,310,21
12040,58,1.0000,58,50,0.862068966,0,0,8,0,0,0,0,0
12041,197,1.0000,197,155,0.78680203,0,5,37,0,0,0,0,0
12042,85,0.7412,63,63,1,0,0,0,22,22,0,0,0
12043,3072,0.6003,1844,1592,0.863340564,6,128,118,1228,256,15,939,18
12045,148,0.5743,85,85,1,0,0,0,63,0,0,63,0
12046,328,0.9512,312,312,1,0,0,0,16,7,0,9,0
12047,8487,0.4995,4239,2976,0.702052371,317,923,23,4248,371,73,3782,22
12051,1566,0.7114,1114,1055,0.947037702,0,17,42,452,126,0,314,12
12052,641,0.8690,557,478,0.858168761,11,15,53,84,55,22,0,7
12053,1605,0.8623,1384,1213,0.876445087,63,73,35,221,141,2,63,15
12054,6682,0.7737,5170,4800,0.928433269,158,212,0,1512,162,36,1314,0
12056,797,0.9009,718,702,0.977715877,0,0,16,79,13,10,51,5
12057,833,0.9112,759,679,0.894598155,0,18,62,74,57,0,11,6
12058,681,0.8267,563,498,0.884547069,0,0,65,118,56,0,49,13
12059,687,0.9127,627,592,0.944178628,0,0,35,60,26,0,30,4
12060,568,0.8239,468,438,0.935897436,0,11,19,100,75,0,23,2
12061,3809,0.6913,2633,2277,0.864793012,194,110,52,1176,72,45,1030,29
12062,670,0.8179,548,465,0.848540146,18,31,34,122,31,0,56,35
12063,190,0.9368,178,178,1,0,0,0,12,12,0,0,0
12064,214,0.6729,144,117,0.8125,0,0,27,70,42,0,18,10
12065,17330,0.6757,11710,9074,0.774893254,1530,465,641,5620,537,305,4666,112
12066,771,0.8625,665,535,0.804511278,6,11,113,106,47,0,28,31
12067,548,0.8376,459,436,0.949891068,0,14,9,89,0,0,71,18
12068,1155,0.7325,846,696,0.822695035,11,8,131,309,104,0,132,73
12069,64,0.9063,58,48,0.827586207,0,4,6,6,0,0,6,0
12070,606,0.8894,539,446,0.827458256,31,11,51,67,38,0,19,10
12071,105,0.8476,89,89,1,0,0,0,16,2,0,3,11
12072,905,0.7945,719,539,0.749652295,4,15,161,186,79,5,65,37
12074,1180,0.9203,1086,944,0.869244936,16,37,89,94,41,0,51,2
12075,1258,0.8696,1094,945,0.863802559,0,5,144,164,44,13,66,41
12076,651,0.8740,569,467,0.820738137,8,0,94,82,52,0,0,30
12077,2421,0.7348,1779,1535,0.862844295,195,38,11,642,130,65,447,0
12078,9707,0.6049,5872,4983,0.848603542,37,464,388,3835,673,53,2940,169
12083,1475,0.8488,1252,1021,0.815495208,64,21,146,223,47,21,98,57
12084,1969,0.2499,492,478,0.971544715,0,14,0,1477,38,33,1406,0
12085,163,0.2147,35,35,1,0,0,0,128,0,0,128,0
12086,642,0.8832,567,538,0.948853616,9,13,7,75,28,0,47,0
12087,362,0.9558,346,299,0.86416185,0,0,47,16,6,0,0,10
12089,72,1.0000,72,72,1,0,0,0,0,0,0,0,0
12090,2509,0.6584,1652,1453,0.879539952,6,112,81,857,167,20,616,54
12092,431,0.7935,342,232,0.678362573,0,0,110,89,0,0,89,0
12093,737,0.7924,584,489,0.837328767,3,4,88,153,86,0,32,35
12094,908,0.9240,839,635,0.756853397,0,6,198,69,52,0,0,17
12095,4968,0.6318,3139,2722,0.867155145,23,237,157,1829,320,0,1487,22
12106,1034,0.8143,842,812,0.964370546,0,2,28,192,85,0,107,0
12108,159,0.8679,138,125,0.905797101,0,0,13,21,17,2,0,2
12110,7593,0.7533,5720,5480,0.958041958,89,84,67,1873,230,137,1506,0
12115,132,0.7576,100,100,1,0,0,0,32,32,0,0,0
12116,858,0.8392,720,553,0.768055556,0,0,167,138,47,0,27,64
12117,1470,0.8395,1234,1018,0.824959481,19,36,161,236,63,2,38,133
12118,5992,0.6150,3685,2409,0.653731343,230,611,435,2307,313,23,1957,14
12120,271,0.8155,221,199,0.900452489,0,6,16,50,29,0,18,3
12121,696,0.9167,638,631,0.989028213,7,0,0,58,26,0,32,0
12122,1895,0.7953,1507,1287,0.854014599,0,14,206,388,83,0,228,77
12123,2161,0.7811,1688,1482,0.877962085,47,58,101,473,175,13,213,72
12124,245,0.9429,231,217,0.939393939,0,0,14,14,14,0,0,0
12125,615,0.7821,481,381,0.792099792,21,35,44,134,68,7,56,3
12130,355,0.8873,315,315,1,0,0,0,40,40,0,0,0
12131,43,0.8605,37,30,0.810810811,0,0,7,6,4,0,0,2
12132,85,0.8353,71,71,1,0,0,0,14,0,0,0,14
12134,1518,0.8538,1296,1106,0.853395062,5,55,130,222,81,13,98,30
12136,302,0.9669,292,272,0.931506849,0,10,10,10,0,0,0,10
12137,664,0.8208,545,498,0.913761468,6,9,32,119,61,5,0,53
12138,1320,0.8970,1184,1019,0.860641892,8,0,157,136,123,0,0,13
12139,61,0.9508,58,54,0.931034483,0,0,4,3,3,0,0,0
12140,568,0.9296,528,521,0.986742424,0,7,0,40,0,0,30,10
12143,2084,0.6598,1375,1271,0.924363636,19,34,51,709,105,22,557,25
12144,8692,0.6127,5326,4455,0.836462636,431,403,37,3366,240,162,2964,0
12147,210,0.8190,172,162,0.941860465,10,0,0,38,8,0,20,10
12148,1858,0.8235,1530,1490,0.973856209,26,14,0,328,5,0,280,43
12149,931,0.7250,675,547,0.81037037,6,3,119,256,41,0,131,84
12150,349,0.8338,291,235,0.807560137,31,25,0,58,8,0,50,0
12151,317,0.7886,250,229,0.916,10,9,2,67,30,2,35,0
12153,306,1.0000,306,303,0.990196078,0,0,3,0,0,0,0,0
12154,1065,0.8357,890,806,0.905617978,4,41,39,175,38,0,122,15
12155,734,0.7984,586,547,0.933447099,2,7,30,148,72,0,56,20
12156,352,0.9233,325,288,0.886153846,11,0,26,27,7,0,20,0
12157,1782,0.8064,1437,1238,0.861517049,0,7,192,345,102,18,220,5
12158,2477,0.8208,2033,1651,0.812100344,144,46,192,444,49,94,227,74
12159,3200,0.7247,2319,2071,0.893057352,191,41,16,881,40,54,773,14
12160,400,0.8925,357,302,0.845938375,3,8,44,43,25,0,15,3
12161,41,0.6585,27,27,1,0,0,0,14,0,14,0,0
12164,95,0.8421,80,74,0.925,1,4,1,15,6,0,9,0
12165,99,0.6869,68,66,0.970588235,2,0,0,31,17,0,14,0
12166,485,0.8742,424,318,0.75,0,13,93,61,46,0,7,8
12167,1036,0.7278,754,661,0.876657825,3,17,73,282,56,0,216,10
12168,817,0.8152,666,558,0.837837838,0,0,108,151,105,3,0,43
12169,150,0.8667,130,90,0.692307692,0,6,34,20,20,0,0,0
12170,1755,0.8405,1475,1242,0.842033898,62,18,153,280,92,16,172,0
12172,132,0.7121,94,45,0.478723404,5,44,0,38,0,0,38,0
12173,697,0.7934,553,536,0.96925859,0,0,17,144,81,11,37,15
12174,102,0.7745,79,79,1,0,0,0,23,0,0,23,0
12175,275,0.8873,244,179,0.733606557,0,10,55,31,16,0,7,8
12176,122,0.8607,105,100,0.952380952,5,0,0,17,17,0,0,0
12177,263,0.9734,256,249,0.97265625,0,0,7,7,0,0,7,0
12180,21419,0.4768,10212,7882,0.771837054,470,1705,155,11207,875,250,9994,88
12182,6109,0.5719,3494,2385,0.682598741,313,663,133,2615,210,121,2274,10
12183,1058,0.3025,320,127,0.396875,8,185,0,738,52,23,663,0
12184,2569,0.7863,2020,1768,0.875247525,20,11,221,549,185,24,320,20
12185,825,0.9285,766,702,0.916449086,3,11,50,59,29,4,13,13
12186,2562,0.8770,2247,2053,0.913662661,160,34,0,315,141,0,174,0
12187,222,1.0000,222,210,0.945945946,0,0,12,0,0,0,0,0
12188,4799,0.6420,3081,2429,0.788380396,198,407,47,1718,177,64,1477,0
12189,7880,0.4360,3436,2248,0.654249127,297,891,0,4444,210,44,4190,0
12190,298,0.8322,248,220,0.887096774,1,0,27,50,25,0,16,9
12192,718,0.8217,590,487,0.825423729,0,6,97,128,32,0,27,69
12193,764,0.9647,737,630,0.854816825,9,0,98,27,27,0,0,0
12194,82,0.9634,79,70,0.886075949,0,0,9,3,3,0,0,0
12195,112,0.6161,69,64,0.927536232,5,0,0,43,0,0,27,16
12196,1218,0.9171,1117,1067,0.955237243,5,45,0,101,5,6,75,15
12197,976,0.8525,832,676,0.8125,11,28,117,144,53,0,34,57
12198,2855,0.8669,2475,2260,0.913131313,91,64,60,380,175,14,158,33
12202,4016,0.2323,933,340,0.364415863,249,344,0,3083,108,212,2763,0
12203,13312,0.5093,6780,5623,0.829351032,508,637,12,6532,611,174,5747,0
12204,3238,0.2912,943,822,0.871686108,31,83,7,2295,69,94,2132,0
12205,11460,0.6879,7883,7284,0.9240137,152,370,77,3577,578,108,2728,163
12206,5966,0.2756,1644,911,0.554136253,158,575,0,4322,103,130,4089,0
12207,885,0.0757,67,19,0.28358209,3,45,0,818,40,18,760,0
12208,9331,0.4760,4442,3852,0.867176947,190,382,18,4889,458,157,4263,11
12209,4420,0.5735,2535,2273,0.896646943,65,176,21,1885,222,31,1632,0
12210,4611,0.2396,1105,150,0.135746606,279,676,0,3506,50,140,3316,0
12211,4341,0.9185,3987,3979,0.997993479,0,8,0,354,184,17,153,0
12302,10699,0.7552,8080,7497,0.927846535,124,371,88,2619,377,14,2151,77
12303,11184,0.7369,8241,7155,0.868219876,469,587,30,2943,616,51,2264,12
12304,8227,0.6053,4980,4458,0.895180723,132,319,71,3247,597,155,2495,0
12305,2343,0.1955,458,173,0.377729258,51,234,0,1885,64,0,1821,0
12306,9712,0.7527,7310,6651,0.909849521,132,502,25,2402,737,55,1598,12
12307,2507,0.3343,838,234,0.279236277,45,559,0,1669,94,7,1568,0
12308,5398,0.4346,2346,1957,0.834185848,37,352,0,3052,260,39,2753,0
12309,11143,0.8340,9293,8699,0.936080921,243,343,8,1850,416,13,1421,0
12401,14373,0.5357,7700,6618,0.859480519,311,503,268,6673,935,223,5351,164
12404,1479,0.8878,1313,1111,0.846153846,17,25,160,166,85,0,33,48
12405,248,0.7903,196,184,0.93877551,12,0,0,52,0,0,25,27
12406,391,0.6343,248,197,0.794354839,0,0,51,143,67,19,48,9
12407,80,0.9125,73,63,0.863013699,5,0,5,7,7,0,0,0
12409,352,0.7869,277,264,0.953068592,0,13,0,75,51,0,24,0
12410,311,0.8617,268,268,1,0,0,0,43,28,0,7,8
12411,169,0.8817,149,108,0.724832215,0,0,41,20,0,0,20,0
12412,352,0.6534,230,210,0.913043478,0,0,20,122,0,0,122,0
12413,1151,0.6499,748,625,0.835561497,29,0,94,403,120,0,209,74
12414,3989,0.6310,2517,2234,0.887564561,50,51,182,1472,329,48,1081,14
12416,54,0.9444,51,45,0.882352941,0,0,6,3,3,0,0,0
12417,243,0.7531,183,139,0.759562842,0,0,44,60,6,0,24,30
12418,157,0.9682,152,152,1,0,0,0,5,0,0,0,5
12419,180,0.6778,122,122,1,0,0,0,58,47,0,11,0
12420,232,0.8233,191,191,1,0,0,0,41,41,0,0,0
12421,189,0.9048,171,129,0.754385965,0,31,11,18,18,0,0,0
12422,88,1.0000,88,88,1,0,0,0,0,0,0,0,0
12423,430,0.8279,356,249,0.699438202,4,15,88,74,16,0,52,6
12424,117,0.7692,90,74,0.822222222,0,16,0,27,19,0,0,8
12427,124,0.9032,112,112,1,0,0,0,12,12,0,0,0
12428,2425,0.6536,1585,1250,0.788643533,58,148,129,840,244,0,559,37
12429,46,0.9565,44,44,1,0,0,0,2,2,0,0,0
12430,457,0.8556,391,365,0.933503836,6,5,15,66,31,0,18,17
12431,543,0.6114,332,315,0.948795181,0,0,17,211,102,0,96,13
12432,216,0.6250,135,135,1,0,0,0,81,26,0,55,0
12433,178,0.7528,134,134,1,0,0,0,44,44,0,0,0
12434,276,0.6812,188,134,0.712765957,0,0,54,88,3,0,69,16
12435,86,0.7674,66,66,1,0,0,0,20,0,0,20,0
12436,239,0.9540,228,216,0.947368421,0,0,12,11,11,0,0,0
12438,31,1.0000,31,31,1,0,0,0,0,0,0,0,0
12439,136,0.7794,106,95,0.896226415,0,5,6,30,8,0,22,0
12440,964,0.7012,676,581,0.859467456,0,76,19,288,247,0,41,0
12441,14,1.0000,14,14,1,0,0,0,0,0,0,0,0
12442,444,0.6779,301,279,0.926910299,4,2,16,143,30,0,113,0
12443,1526,0.9201,1404,1247,0.888176638,28,0,129,122,122,0,0,0
12444,218,0.8670,189,166,0.878306878,2,0,21,29,24,0,0,5
12446,1784,0.7707,1375,1162,0.845090909,14,6,193,409,311,0,89,9
12448,269,0.8216,221,183,0.828054299,22,16,0,48,37,0,11,0
12449,1205,0.6830,823,580,0.704738761,80,25,138,382,86,6,249,41
12450,39,1.0000,39,39,1,0,0,0,0,0,0,0,0
12451,710,0.6887,489,427,0.873210634,0,8,54,221,95,0,87,39
12452,92,1.0000,92,76,0.826086957,0,0,16,0,0,0,0,0
12453,145,0.8552,124,124,1,0,0,0,21,0,0,21,0
