695387550182039554,RT @kindcultureuk: New post! https://t.co/E1vfYnwS3l\n@UKBloggers1 @UKBlog_RT @BloggerBees \n\n#solarenergy #ecoliving #ecolife #greenenergy #\u2026,2556513596,UK Blogger RT,UK,null,2016-02-04 23:24,,
695386910399696896,RT @vivek4wild: The true land of fire. #iceland and they are doing good with it #greenenergy #greeneconomy @AzzedineTDownes https://t.co/TL\u2026,307560681,Wolfbaird,,null,2016-02-04 23:22,,
695386829109866496,#natural #superfruit w #greenenergy  marine #protein #antiaging #facial cream \nhttps://t.co/EEo5RyzCDT boutique HI. https://t.co/XCHGuLcDH7,2174359038,Paradisemoon Radio,On A Cloud - NO DM's please,null,2016-02-04 23:21,,
695386265567363073,RT @kindcultureuk: New post\ud83c\udf1e https://t.co/E1vfYnwS3l @FemaleBloggerRT @TheBloggersPost @RT_Bloggers\n\n#solarenergy #ecoliving #ecolife #gree\u2026,2941744129,B W D,,null,2016-02-04 23:19,,
695383632479854593,RT @vivek4wild: The true land of fire. #iceland and they are doing good with it #greenenergy #greeneconomy @AzzedineTDownes https://t.co/TL\u2026,41630575,Azzedine Downes,United States,null,2016-02-04 23:09,,
695383231491772417,#GreenEnergy #ClimateChange #USAShouldBeMoreLikeThis https://t.co/61uPVybCkE,4867283681,Bobby Jackson,,null,2016-02-04 23:07,,
695383135136026624,RT sonamem94 New post!\ud83c\udf1e https://t.co/yCVznMn2WA \n\n#solarenergy #ecoliving #ecolife #greenenergy #kindculture,3309001212,Mark Cote,Tampa FL,null,2016-02-04 23:07,,
695383130568593408,RT kindcultureuk New post!\ud83c\udf1e https://t.co/yCVznMEEla GreenBeautyTeam WomenGreenForum blogginggals \n\n#solarenergy #ecolife #greenenergy #kin\u2026,3309001212,Mark Cote,Tampa FL,null,2016-02-04 23:07,,
695382169993084928,RT @kindcultureuk: New post!\ud83c\udf1e https://t.co/E1vfYnwS3l @trustedclothes @ecofabulous @OneGreenPlanet \n\n#solarenergy #ecoliving #ecolife #gree\u2026,3761432541,Trusted Clothes,Global,null,2016-02-04 23:03,,
695381415278440456,RT sonamem94 New post!\ud83c\udf1e https://t.co/g99J0s3g4U \n\n#solarenergy #ecoliving #ecolife #greenenergy #kindculture,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-04 23:00,,
695381409712615424,RT kindcultureuk New post!\ud83c\udf1e https://t.co/g99J0s3g4U GreenBeautyTeam WomenGreenForum blogginggals \n\n#solarenergy #ecolife #greenenergy #kin\u2026,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-04 23:00,,
695380826196824064,New post!\ud83c\udf1e https://t.co/ipOVsyq5FP \n\n#solarenergy #ecoliving #ecolife #greenenergy #kindculture,515618741,Sonam,London,null,2016-02-04 22:58,,
695380685633167360,New post!\ud83c\udf1e https://t.co/E1vfYnwS3l @trustedclothes @ecofabulous @OneGreenPlanet \n\n#solarenergy #ecoliving #ecolife #greenenergy #kindculture,3309362644,Kind Culture,"London, UK",null,2016-02-04 22:57,,
695380396691709953,RT @kindcultureuk: New post! https://t.co/E1vfYnwS3l\n@UKBloggers1 @UKBlog_RT @BloggerBees \n\n#solarenergy #ecoliving #ecolife #greenenergy #\u2026,2544591182,UK Bloggers,Across the UK,null,2016-02-04 22:56,,
695380346985033728,New post!\ud83c\udf1e https://t.co/E1vfYnwS3l @GreenBeautyTeam @WomenGreenForum @blogginggals \n\n#solarenergy #ecolife #greenenergy #kindculture,3309362644,Kind Culture,"London, UK",null,2016-02-04 22:56,,
695380059125776384,New post\ud83c\udf1e https://t.co/E1vfYnwS3l @FemaleBloggerRT @TheBloggersPost @RT_Bloggers\n\n#solarenergy #ecoliving #ecolife #greenenergy #kindculture,3309362644,Kind Culture,"London, UK",null,2016-02-04 22:55,,
695379834814345216,RT @kindcultureuk: New post! https://t.co/E1vfYnwS3l\n@UKBloggers1 @UKBlog_RT @BloggerBees \n\n#solarenergy #ecoliving #ecolife #greenenergy #\u2026,3179470937,The Blogger Bees,United States,null,2016-02-04 22:54,,
695379340872122368,RT sonamem94 New post! \n\nhttps://t.co/yCVznMn2WA\n\n#solarenergy #renewableenergy #ecoliving #ecolife #greenenergy #kindculture,3309001212,Mark Cote,Tampa FL,null,2016-02-04 22:52,,
695379336862392320,RT kindcultureuk New post! \n\nhttps://t.co/yCVznMn2WA\n\n#solarenergy #renewableenergy #ecoliving #ecolife #greenenergy #kindculture,3309001212,Mark Cote,Tampa FL,null,2016-02-04 22:52,,
695379334861750273,New post!\ud83c\udf1e https://t.co/E1vfYnwS3l @GreenABCs_ @ConsciousMagic @SolarEnergyDude\n\n#solarenergy #ecoliving #ecolife #greenenergy #kindculture,3309362644,Kind Culture,"London, UK",null,2016-02-04 22:52,,
695379127285592065,RT @KreationJuice: Greentastic #Kreationjuice #bikeshare #greenenergy #greenjuice https://t.co/NMayzjg6Eb,1240776284,Maxi Tibbenham\u2764\ufe0f,"Los Angeles, CA",null,2016-02-04 22:51,,
695378983433560064,New post! https://t.co/E1vfYnwS3l\n@UKBloggers1 @UKBlog_RT @BloggerBees \n\n#solarenergy #ecoliving #ecolife #greenenergy #kindculture,3309362644,Kind Culture,"London, UK",null,2016-02-04 22:50,,
695377644800442374,RT kindcultureuk New post! \n\nhttps://t.co/g99J0s3g4U\n\n#solarenergy #renewableenergy #ecoliving #ecolife #greenenergy #kindculture,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-04 22:45,,
695377370643959809,"RT @TheOrgStream: #Biogas plants are not designed for operational #efficiency, leading to big problems. How do we fix it? https://t.co/mZVk\u2026",2970535631,Ram\u00f3n Plana,,null,2016-02-04 22:44,,
695371009017274369,"\Francia pavimentar\u00e1 1000 kil\u00f3metros de carretera con paneles solares\"" #eco #greenenergy  https://t.co/yOuScRSoJg""",1159815660,GreenisaWayofLife,Madrid,null,2016-02-04 22:19,,
695370804079366149,From #Recycling &amp; #Waste to Compost &amp; #GreenEnergy - Our #Blog covers it all!  https://t.co/L0Q20HlNGe https://t.co/HipZYwqN9B,104195514,Busch Systems,North America,null,2016-02-04 22:18,,
695362761920872448,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",614716970,Cal Hardison,"Gallatin, TN",null,2016-02-04 21:46,,
695360594174615552,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",4601612841,Kathleen,"Florida, USA",null,2016-02-04 21:37,,
695357814886133764,Received an order for our day job  which means we'll have managed \u00a340million of speciallist engineering services in our career #GreenEnergy,91827652,North Wales Dragons,"North Wales, UK",null,2016-02-04 21:26,,
695356145146331136,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",4844811918,BRENDA L NALLY,,null,2016-02-04 21:19,,
695354664313749504,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",460851611,Keep The Change,"Jax, FL",null,2016-02-04 21:14,,
695352826579398659,#Obama just put a $10 tax per barrel of oil 2 fund #greenenergy ? Who does he think will pay that tax? #WeThePeople will! Not millionaires,281402050,RealAmericanPatriot,so called flyover country,null,2016-02-04 21:06,,
695349651965218821,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",2255673295,Gloria Anderson,,null,2016-02-04 20:54,,
695349627894116352,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",217811946,John La Chase,,null,2016-02-04 20:54,,
695349532675043329,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",4567831768,debi lynch,,null,2016-02-04 20:53,,
695348910764654592,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",23264721,PAL,,null,2016-02-04 20:51,,
695348569771933696,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",510576918,Connie Gorton,,null,2016-02-04 20:49,,
695348412720369664,RT @euenergyweek: How can young people learn about #GreenEnergy? Contribute to #EUSEW16 from all over Europe! https://t.co/PnRvbG906K https\u2026,1139295860,Interreg CE,Vienna,null,2016-02-04 20:49,,
695347095230808066,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",2312175253,DonnaLyles,United States,null,2016-02-04 20:44,,
695346960484532225,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",3845461457,Frank Furlan,,null,2016-02-04 20:43,,
695346321599782913,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",120269996,Toddy Littman, \u039c\u039f\u039b\u03a9\u039d \u039b\u0391\u0392\u0395 U.S.A. ,null,2016-02-04 20:40,,
695345985208209409,Fuel preparation and storage area could require an additional 20\u2019 x 40\u2019 area #greenenergy #biomassgoo.gl/9bgQbE,2686526684,Agripower Pacific,"Honolulu, HI",null,2016-02-04 20:39,,
695345942866718720,"RT @DentzelDomain: #obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something \u2026",3536963279,Robert Rigel,"Light and Dark, Form and Void",null,2016-02-04 20:39,,
695345860134072320,And the fee routed to America's billionaires and big banks to be laundered back to Democrats. #Greenenergy is easy. https://t.co/C40otllXke,243241423,The Dapper Breamer\u2122,What's left of Ohio,null,2016-02-04 20:39,,
695345849686069248,"#obama wants $10/barrel tax on #oil for #greenenergy. Once again, libs taxing something that works to finance something that doesn't.",293056140,Edward Dentzel,"Mad Beach, FL",null,2016-02-04 20:39,,
695343600641581057,\ud83d\udc0a\ud83c\udf34\u2600\ufe0f#needanadventure #amazon #lidreams #junglelake #missingsummer #greenenergy by sarnasan\u2026 https://t.co/9W6QzaHCqv https://t.co/ilLDkDGdpp,2229533502,Green Power Monitor,,null,2016-02-04 20:30,,
695343578051059712,https://t.co/PfnRDdAESn You CAN escape the energy companies - this guy is 100% off grid #greenenergy #green https://t.co/74SZFYNdEy,2645516899,Green Geek,,null,2016-02-04 20:30,,
695343540633665537,#renewable #energy keeps you #WellPrepared for any eventuality\n\n\u2014\u2013\n\n#greenenergy #windturb\u2026 https://t.co/qfaQu39dJO https://t.co/XOhsMq25cG,2229533502,Green Power Monitor,,null,2016-02-04 20:29,,
695341093974446080,FREE Energy #Solar #Stirling Generator - Alternative #GreenEnergy https://t.co/WZzjfaCrYr,54039049,Solar Dude,USA,null,2016-02-04 20:20,,
695340228538568704,#greenenergy Veteran inventors build potential $1 billion idea in Riverview (Video) - Tampa Bay Business Journa... https://t.co/IvMLppxvwm,75054204,GreenerEdgeWebDesign,MO,null,2016-02-04 20:16,,
695340199350398976,Great news for Morocco! #greenenergy  https://t.co/ZzbAGP61q9,365584845,Chris Gieckel,"Washington, DC",null,2016-02-04 20:16,,
695338203411120128,https://t.co/NjAAjkCOuT green the world with save money! #HeartMonth #greenenergy #AmericanHeartMonth,4291867455,Alex Staples,,null,2016-02-04 20:08,,
695337509908156418,Attend our breakfast on #LED lights and controls tech for your biz https://t.co/1mskztKHWr @Smarter_DC @DOEE_DC @SustainDC #greenenergy,236532191,DowntownDC,"Washington, D.C.",null,2016-02-04 20:05,,
695337410805104640,No Hassle Solar Power\nGet Full Information\nwww/gosolarwithviridian.com/bisbano301\n\n#solarelectricity #greenenergy,4787052941,Michael J. Bisbano,"East Greenwich, RI",null,2016-02-04 20:05,,
695337377636593665,Visiting Agripower systems again next week.Follow #agripower to see pics and videos  #greenenergy #cleanenergy https://t.co/knOBb37bnA,2686526684,Agripower Pacific,"Honolulu, HI",null,2016-02-04 20:05,,
695334572163137536,RT @Merlyn43: Morocco to switch on first phase of world's largest solar plant https://t.co/fCvT7XDcjR #solarpower #energy #greenenergy,821351,Paul Hillsdon,"Surrey, British Columbia",null,2016-02-04 19:54,,
695333505262178306,RT @Merlyn43: Morocco to switch on first phase of world's largest solar plant https://t.co/fCvT7XDcjR #solarpower #energy #greenenergy,71704235,Cindy,"#Vancouver, BC, Canada",null,2016-02-04 19:50,,
695332358522691585,How Sustainable is #Africa's #GreenEnergy https://t.co/7s58tELJhL,21993071,Viking Services,"Denver, CO",null,2016-02-04 19:45,,
695326949355446272,This is brilliant waste use. Powered by #poo: #Somerset #dairy #farm enjoys #biogas boom\nhttps://t.co/cfsoucvxVx #greenenergy #environment,22965085,Andrew Hurst,"Newton Le Willows, UK",null,2016-02-04 19:23,,
695324701317402626,Investment to kickstart tidal projects in Britain and India https://t.co/7W1WfImHTF #investment #greenenergy https://t.co/4W355haPwz,4853719077,Stockio,,null,2016-02-04 19:15,,
695324588926967809,RT meriemasahli #Morocco flips switch on first phase of world\u2019s largest #Solar plant https://t.co/t8J0E8DmMN #SolarPower #GreenEnergy #Ren\u2026,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-04 19:14,,
695323692306268161,"#Biogas plants are not designed for operational #efficiency, leading to big problems. How do we fix it? https://t.co/mZVkjsHkaE #greenenergy",1012159477,THE ORGANIC STREAM,San Francisco / Malm\u00f6,null,2016-02-04 19:11,,
695323320322035713,#Morocco flips switch on first phase of world\u2019s largest #Solar plant https://t.co/8sxQhXEXj1 #SolarPower #GreenEnergy #Renewables #Maroc,4147708163,Meriem Sahli,Underwater,null,2016-02-04 19:09,,
695322696167612416,"Modern dykes, windmills and highways in the Netherlands #windenergy #greenenergy https://t.co/DacZGfPgfU",64374295,Ermal A.,Albania ,null,2016-02-04 19:07,,
695321629929373696,The Modern Berlin! Way to go...Its an E-Volution #greenenergy #sustainable  https://t.co/jYCCxZnZSp,242765164,iamtristan,"Berlin, Germany",null,2016-02-04 19:02,,
695317179151966209,MATS Compliance Help for Power Plant Operators https://t.co/siVtMhYaBM #greenenergy,730791510,Green Energy TV,,null,2016-02-04 18:45,,
695314403235872768,"Support #clean #energy, not #polluter giveaways in #Senate #Energy Bill https://t.co/OnjlrHd0Wu #cleanenergy #Congress. #USA #greenenergy",118177842,The Perceiver,Metropolitan Chicago,null,2016-02-04 18:34,,
695314285447286788,Visiting Agripower next week #agripower to see pics &amp; videos #greenenergy #waste Help and earn finder's fee https://t.co/enmVugP997,2686526684,Agripower Pacific,"Honolulu, HI",null,2016-02-04 18:33,,
695313410750332929,\u201cHey mother nature don\u2019t die!\u201d #Green #GreenEnergy #Nature #Earth #PeaceLoveAndNature by e\u2026 https://t.co/KayltuRVH1 https://t.co/dA1tOrj7G1,2229533502,Green Power Monitor,,null,2016-02-04 18:30,,
695313404135923713,Los #sistemasfotovoltaicos generando a su m\u00e1xima capacidad #greenenergy #solarenergy #ciud\u2026 https://t.co/vOsLJCAQbl https://t.co/IK3RSXGyQc,2229533502,Green Power Monitor,,null,2016-02-04 18:30,,
695313397961859072,Round and round and around #windmills #greenenergy #palmsprings #roadtrip #epictrips by da\u2026 https://t.co/87HeSE19Qn https://t.co/x6yAcr8GQv,2229533502,Green Power Monitor,,null,2016-02-04 18:30,,
695313373261651968,"RT https://t.co/BF5iycwafk #greenenergy Turning Millions of Dollars into Billions for Renewable Energy, Energy Ef\u2026 https://t.co/3zHm6bIRHa",3318270648,Danielle Darnold,"Sioux Falls, SD",null,2016-02-04 18:30,,
695311464211546113,Energy4Europe: RT euenergyweek: How can young people learn about #GreenEnergy? Contribute to #EUSEW16 from all ove\u2026 https://t.co/d20Hi3zlEJ,3008051701,Buyle Legal Energy,Brussels,null,2016-02-04 18:22,,
695311459069337600,RT @euenergyweek: How can young people learn about #GreenEnergy? Contribute to #EUSEW16 from all over Europe! https://t.co/PnRvbG906K https\u2026,2890528054,Energy4Europe,Europe,null,2016-02-04 18:22,,
695310232931680256,"#greenenergy Turning Millions of Dollars into Billions for Renewable Energy, Energy Efficiency in Pennsylvania ... https://t.co/P5330R5Reb",75054204,GreenerEdgeWebDesign,MO,null,2016-02-04 18:17,,
695308867018833921,#ElonMusk: #Tesla will launch version 2 of its #HomeBattery this summer https://t.co/VvbLMYELW4 \n#tech #greenenergy https://t.co/gdwbvIS3Pe,994818788,TechOrbits,"Mission Viejo, CA, USA",null,2016-02-04 18:12,,
695304836821090304,Morocco to switch on first phase of world's largest solar plant https://t.co/fCvT7XDcjR #solarpower #energy #greenenergy,260724365,Dave,"National City, Ca (San Diego)",null,2016-02-04 17:56,,
695304369860775936,Why Latin America prefers investing in wind energy over solar https://t.co/76Be4bQURj \u2026 #windenergy #renewableenergy #VAWT #greenenergy,2891674796,xFlashpoint LLC,Portland OR/Los Angeles CA,null,2016-02-04 17:54,,
695304034865979392,Why Latin America prefers investing in wind energy over solar https://t.co/Eu3DIP0mb2 #windenergy #renewableenergy #VAWT #greenenergy,14478677,Vicente Cu\u00e9,"Thousand Oaks, CA",null,2016-02-04 17:52,,
695303581591805952,"When world is moving towards renewable solar energy, where are we(#INDIA) moving towards ? #renewableenergy #solarenergy  #greenenergy",57578833,Hitesh Mehta,Mumbai,null,2016-02-04 17:51,,
695300393044152321,Significant progress reported in US #renewableenergy installation:  https://t.co/3qS1g6e5x4 #greenenergy #energy,790546093,Alan Tonelson,"Riverdale Park, MD ",null,2016-02-04 17:38,,
695299849344917505,2day@6: @EngineeredTax &amp; @Magnum_ES : #BigDdata #greenenergy | @CCIMMiami #CREC #miami |@jimfried - #capitalmarkets https://t.co/RDTmuBbDjM,465971022,FriedonBusinessRadio,South Florida,null,2016-02-04 17:36,,
695299821306003456,2day@6: @EngineeredTax &amp; @Magnum_ES : #BigDdata #greenenergy | @CCIMMiami #CREC #miami |@jimfried - #capitalmarkets https://t.co/8y6OHCIfRL,36472970,Jim Fried,Miami,null,2016-02-04 17:36,,
695299338625372160,"Let\u2019s make this a real \u2018leap\u2019 year, and go fossil fuel-free | Naomi Klein: The Leap Manifesto is ... https://t.co/AaYOT0qYLT #GreenEnergy",1428242593,Sahara Green,"Abuja, Nigeria",null,2016-02-04 17:34,,
695298292578705408,https://t.co/PfnRDdj40P You CAN escape the energy companies - this guy is 100% off grid #greenenergy #green https://t.co/Ioq6ZGb4X7,2645516899,Green Geek,,null,2016-02-04 17:30,,
695298159497580546,#nature #green #Hope #GreenEnergy #Earth #Air #AmzEarthPics. by iliana.diazfernandez on Fe\u2026 https://t.co/LVzOCOgkhT https://t.co/2GId7zfKUN,2229533502,Green Power Monitor,,null,2016-02-04 17:29,,
695296406823653376,The cascade of studies published re: #greenenergy mix changes in the US are all very encouraging. #cleantech https://t.co/WLpEAS3SRz,17241185,Wayne,San Francisco,null,2016-02-04 17:22,,
695295321623150592,Ode to a cargo bike.  #London #courier #ecofriendly #greenenergy https://t.co/fPdYglrQV5,742840766,3D Couriers,"London, England",null,2016-02-04 17:18,,
695289584893181952,Ability to use low cost fuel &amp; combined heat and power technology #greenenergy #biomass https://t.co/n3YlvEBuRL,2686526684,Agripower Pacific,"Honolulu, HI",null,2016-02-04 16:55,,
