697977063362338816,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,4756011145,sudha,,null,2016-02-12 2:54,,,,
697976804707971073,#SolarEnergy: Our Opinion Let the sun shine in ... https://t.co/KESMv3zWpa,39775054,Its For Home,Boulder CO,null,2016-02-12 2:53,,,,
697976305283940353,RT Scarysota63 Lack of financing is a huge obstacle for homeowners who would like to invest in #solarenergy. #IncomeInequality matters #Dem\u2026,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-12 2:51,,,,
697976304323403777,RT ServeSondeijker The Six \u2018After-Sunset &amp; Cloudy\u2019 #SolarEnergy Storage Solutions Projects https://t.co/knNbk6t2Dp,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-12 2:51,,,,
697976302276632577,RT ScottCatallo .nytimes SolarCity and Other Rooftop Providers Face a Cloudier Future https://t.co/imDZ6x2ih7 #solarenergy #sustainability,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-12 2:51,,,,
697976301391605760,RT solardude1 #SolarEnergy - Summer Wind https://t.co/bVXqWw61Sp,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-12 2:51,,,,
697976300401790977,RT soulthinkers This time Brazil #solarenergy  https://t.co/bCUnWeGgYV,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-12 2:51,,,,
697976298241724416,RT solarpanelpk #solarpanels #solarpanel #solarenergy #solarenergyuses #buildasolarpanel #solarpanelprices #reside\u2026 https://t.co/2k0nnFZCrR,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-12 2:51,,,,
697976296807211008,RT energyrenova So how does solar work? https://t.co/tSnHe3w9xG #solarenergy,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-12 2:51,,,,
697975240576671744,Lack of financing is a huge obstacle for homeowners who would like to invest in #solarenergy. #IncomeInequality matters #DemDebate,168047339,Merissa Lovett,"Sarasota, FL",null,2016-02-12 2:47,,,,
697974705920286721,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,3168108102,Karen Castro,Upstate New York,null,2016-02-12 2:45,,,,
697974702061576193,The Six \u2018After-Sunset &amp; Cloudy\u2019 #SolarEnergy Storage Solutions Projects https://t.co/DhLLVCNnUk,2885851034,Serv\u00e9 Sondeijker,,null,2016-02-12 2:45,,,,
697974474667208704,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,2784052049,amaro cordero ramire,mixteca poblana mex,null,2016-02-12 2:44,,,,
697974437019127809,RT @CyboEnergy: News Release: CyboEnergy Releases On/Off-Grid CyboInverter For PV Water Heating https://t.co/hlue2MapMP #onoffgrid #solar #\u2026,4861305762,George S. Cheng,"Rancho Cordova, CA",null,2016-02-12 2:44,,,,
697974138879766528,RT @SunEdison: Solar energy saves water during droughts... and in general: https://t.co/t0RLVGLyBd #solar #solarenergy https://t.co/sgEVq9B\u2026,3296851886,Omar Benchemsi,"Washington, DC",null,2016-02-12 2:42,,,,
697973796922327040,"RT @ravinaproject: 16/02/11 Last 24 hrs:imported from Grid 25kWh, exported to Grid 4kWh, solar gen 15.8kWh, house used 36.8kWh, array size \u2026",251780593,Craig Hotrum,"Ontario, Canada",null,2016-02-12 2:41,,,,
697973727015804928,News Release: CyboEnergy Releases On/Off-Grid CyboInverter For PV Water Heating https://t.co/hlue2MapMP #onoffgrid #solar #solarenergy,1563817524,CyboEnergy,"Rancho Cordova, CA",null,2016-02-12 2:41,,,,
697972898426916864,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,120083000,JEGLOT H\u00e9l\u00e8ne,PARIS,null,2016-02-12 2:38,,,,
697972122384097280,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,194400127,atul kumar,India,null,2016-02-12 2:34,,,,
697972114020651008,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,2453738172,Karem Nacostielle,Brasil,null,2016-02-12 2:34,,,,
697971656216735744,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,348728531,ronald nickless,"Fleetwood, England",null,2016-02-12 2:33,,,,
697971651468795904,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,202679450,Camila,,null,2016-02-12 2:33,,,,
697970901896138752,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,3150667724,Samantha Qui\u00f1ones,Milky Way casi siempre\u263a,null,2016-02-12 2:30,,,,
697969826371932161,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,2363975179,Nu \u2661,,null,2016-02-12 2:25,,,,
697969356081201156,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,1484990706,Jennifer Pinion,,null,2016-02-12 2:23,,,,
697968608735932416,.@nytimes SolarCity and Other Rooftop Providers Face a Cloudier Future https://t.co/x4CjyDoPi6 #solarenergy #sustainability,4754680839,Scott Catallo,"Westland, MI",null,2016-02-12 2:20,,,,
697968400077864960,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,233771234,ruthmadrigal,,null,2016-02-12 2:20,,,,
697968185954451456,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,603382688,ouin ouin,,null,2016-02-12 2:19,,,,
697967244958019586,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,2443881480,Zo\u00e9 P.,,null,2016-02-12 2:15,,,,
697967164184088577,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,4800580076,ConsciousCitizenCCo,Everywhere,null,2016-02-12 2:15,,,,
697966529673973761,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,304906284,Mark Ari,"Miami Beach, FL",null,2016-02-12 2:12,,,,
697966225159225344,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,2367945467,JackRivero,United States,null,2016-02-12 2:11,,,,
697965936200937473,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,120325961,saugatamukhopadhyay,india,null,2016-02-12 2:10,,,,
697965920384376832,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,3350078529,Geovanny Ramirez,Guayaquil-Ecuador ,null,2016-02-12 2:10,,,,
697965348335853568,#SolarEnergy - Summer Wind https://t.co/g8kFQINqcF,54039049,Solar Dude,USA,null,2016-02-12 2:08,,,,
697965329008324609,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,30267162,Alex,,null,2016-02-12 2:07,,,,
697964294571433986,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,2663383536,orange_parrot,"north america, earth",null,2016-02-12 2:03,,,,
697964213873078272,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,99350609,Dhana Harrison,,null,2016-02-12 2:03,,,,
697964199499005952,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,545058033,thelim\u0e1b\u0e25\u0e38\u0e01\u0e2d\u0e36\u0e14\u0e15\u0e32\u0e22\u0e22\u0e32\u0e01,,null,2016-02-12 2:03,,,,
697964183988649986,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,2561258142,manresssa,Glasgow,null,2016-02-12 2:03,,,,
697963971484258305,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,2160861133,Lissap74,"Verona, WI",null,2016-02-12 2:02,,,,
697963877091274753,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,428072824,DJ_DELLEON,,null,2016-02-12 2:02,,,,
697963834112249857,This time Brazil #solarenergy  https://t.co/HM6AkXzbHu,3226415690,Soul Thinkers,Internet,null,2016-02-12 2:02,,,,
697963803997302785,RT @charlesb430: via @denversolarguy\n#Teaching #SolarEnergy To Kids - Greenwith Primary #School ! https://t.co/3B5bhDP8Ig,4721574708,Energy Renaissance,"Sydney, New South Wales",null,2016-02-12 2:01,,,,
697963800029458432,RT @solarsolnsteam: RT GreatBiggerLife Choosing To Use Solar Power #Solar #SolarPower #SolarEnergy https://t.co/VSOat4sXrM https://t.co/3YT\u2026,4721574708,Energy Renaissance,"Sydney, New South Wales",null,2016-02-12 2:01,,,,
697963793264091136,RT @aileenr1: Sunshine &amp; cake! The best @FlyTPA  @TampaElectric #sustainability #solarenergy https://t.co/Fzfick3NoR,4721574708,Energy Renaissance,"Sydney, New South Wales",null,2016-02-12 2:01,,,,
697963781394145281,RT @AlpSirman: Solar panel pollution like coal ash? - https://t.co/4YJsXX8sPD\n#SolarEnergy #renewableenergy,4721574708,Energy Renaissance,"Sydney, New South Wales",null,2016-02-12 2:01,,,,
697963780509192192,"RT @AlpSirman: Utilities, solar energy and the fight for your roof - https://t.co/cd89yAVdF0\n#SolarEnergy #renewableenergy",4721574708,Energy Renaissance,"Sydney, New South Wales",null,2016-02-12 2:01,,,,
697963697625571328,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,4788995005,#EarthPryme.Inc,,null,2016-02-12 2:01,,,,
697963169705287681,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,210716705,Ednalyn Y. Millar,Hong Kong,null,2016-02-12 1:59,,,,
697962970605817856,via @AlpSirman\nGerman solar energy companies to visit Botswana for investment opportunities - https://t.co/FmxM5rHSxy #SolarEnergy #enviro\u2026,3881970556,Charles Buckland,United States,null,2016-02-12 1:58,,,,
697962873180549120,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,1602926767,A La Renay Boutique,"Tampa, FL",null,2016-02-12 1:58,,,,
697962743358427140,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,216191544,wiselatina,Midwest,null,2016-02-12 1:57,,,,
697962726589509632,"RT @UNDP_India: Lighting one million homes in rural India, one #solar lamp at a time: https://t.co/oVFTVBrlf9 #SolarEnergy https://t.co/fEl\u2026",1707613195,VFF USA,"Washington, DC",null,2016-02-12 1:57,,,,
697962629256511488,#solarpanels #solarpanel #solarenergy #solarenergyuses #buildasolarpanel #solarpanelprices #residentialsolarpanels https://t.co/qL9pcAEs1o,4845345935,Solarpanel.pk,,null,2016-02-12 1:57,,,,
697962574382395392,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,426290352,Morgan,kuala lumpur/London/ USA,null,2016-02-12 1:56,,,,
697962304990613504,RT @GreenpeaceNZ: #solarenergy is changing lives in Brazil. Here\u2019s how &gt;&gt; https://t.co/G1PYbCnovp https://t.co/4CQvk700Fw,3459051,Greenpeace,Global,null,2016-02-12 1:55,,,,
697961509356437504,RT @LasVegasLocally: #SOLAR MYSTERY: Why is Governor Brian Sandoval helping to kill #SolarEnergy in Nevada?? \ud83d\ude15 https://t.co/BOKQnktRV7 http\u2026,4799858892,Renewable Envoy,"Las Vegas, NV",null,2016-02-12 1:52,,,,
697961460199108608,RT @LasVegasLocally: \u201cWhat a Bought Politician in #Nevada Means for the 2016 Presidential Race\u201d by @cassadyblair https://t.co/pgM8KVz9k8 #S\u2026,4799858892,Renewable Envoy,"Las Vegas, NV",null,2016-02-12 1:52,,,,
697960190801485827,RT solarpanelpk #solarpanels #solarpanel #solarenergy #solarenergyuses #buildasolarpanel #solarpanelprices #reside\u2026 https://t.co/tVEpGfCKtW,3091964034,Solar Solutions Team,"Brentwood, CA",null,2016-02-12 1:47,,,,
697958907273023488,So how does solar work? https://t.co/VPxgdGS02X #solarenergy,3820453040,Energy Renovation,,null,2016-02-12 1:42,,,,
697957896240238594,Solar Shingles\nSo cool to see how solar is becoming more decorative and efficient at the same time. #solarenergy https://t.co/uY2UxsGVvS,3820453040,Energy Renovation,,null,2016-02-12 1:38,,,,
