713544312164843520,RT @GreenNewsDaily: Solar power could be bright future for chicken farmers https://t.co/Hb9wVfToY5,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:53,,,
713540761040457729,Solar power could be bright future for chicken farmers https://t.co/Hb9wVfToY5,22164556,Green News,"Charlottesville, VA",null,2016-03-26 1:39,,,
713540758599442432,Hospital in Hub gets solar power https://t.co/yEDYvUmC7u,22164556,Green News,"Charlottesville, VA",null,2016-03-26 1:39,,,
713540558296322048,RT @b2bnewsupdate: Solar power could be bright future for chicken farmers https://t.co/nFblP2hugz #b2b #news,176852351,PotStirrer\u2122,"WR, United States",null,2016-03-26 1:38,,,
713539260268158976,Solar power could be bright future for chicken farmers https://t.co/RiIskbjUz8 #green #storystream #pr,234517183,Lifestyle News,,null,2016-03-26 1:33,,,
713539227523231745,Solar power could be bright future for chicken farmers https://t.co/ahKShrUUew #green #stortystream #life,103741974,Lifestyle News,,null,2016-03-26 1:33,,,
713539224591425536,Solar power could be bright future for chicken farmers https://t.co/Ck2aeWzCoB #green,16935195,talkmusic,,null,2016-03-26 1:33,,,
713539211358437376,Solar power could be bright future for chicken farmers https://t.co/sVlGHqaxFh #green #allcompanynews,281565203,All Company News,,null,2016-03-26 1:32,,,
713539210154627072,Solar power could be bright future for chicken farmers https://t.co/nFblP2hugz #b2b #news,217159992,B2B News,,null,2016-03-26 1:32,,,
713539198897119232,Solar power could be bright future for chicken farmers https://t.co/38qyInQbwF #green,69369347,Solar Business Daily,"Charlottesville, VA",null,2016-03-26 1:32,,,
713539192475639810,Solar power could be bright future for chicken farmers https://t.co/zqjxS7LkQc #b2b,207255276,B2B News,,null,2016-03-26 1:32,,,
713539182929383424,Solar power could be bright future for chicken farmers https://t.co/8u8dMlP7FO #storystream,215440345,Business News,,null,2016-03-26 1:32,,,
713538002035675136,Video: Green Energy - Eco Intro - After Effects Project Files | VideoHive 667376 https://t.co/LNgnl9Ph5m #green #allcompanynews,281565203,All Company News,,null,2016-03-26 1:28,,,
713537986479034369,Video: Green Energy - Eco Intro - After Effects Project Files | VideoHive 667376 https://t.co/ey7LMu9bWN #green #b2b #news,217159992,B2B News,,null,2016-03-26 1:28,,,
713537986273542144,Video: Green Energy - Eco Intro - After Effects Project Files | VideoHive 667376 https://t.co/DrisbZlp3H #green #b2b,207255276,B2B News,,null,2016-03-26 1:28,,,
713536960997027841,Learn About #EnergySources That Will Help Save The Planet https://t.co/M1He1bbBuu #GreenEnergy,3257863220,Solar Wind Energy,"Los Angeles, CA",null,2016-03-26 1:24,,,
713535883098480642,#greenenergy fund now giving loans instead of grants that have to be paid back and prove they are viable.,28752702,Robin,Hayborough,null,2016-03-26 1:19,,,
713535519616008192,RT @GreenNewsDaily: Wind and solar are growing at a shocking pace https://t.co/JQynbMhrmu,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:18,,,
713535041977114624,RT @GreenNewsDaily: What's the right amount of flashing to use for waterproof solar installs? https://t.co/tEeFUe80SQ,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:16,,,
713534976004726784,Video:  Green Energy - Eco Intro - After Effects Project Files | VideoHive 667376 https://t.co/f1juoxit4z #green,22164556,Green News,"Charlottesville, VA",null,2016-03-26 1:16,,,
713534567634903040,RT @GreenNewsDaily: Renewable energy growth in developing countries is led by China and India https://t.co/p6p0RUdk1i,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:14,,,
713534530397691907,RT @GreenNewsDaily: China establishes number one global position for wind power https://t.co/tPBKdWoFOx,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:14,,,
713533730346942464,RT @GreenNewsDaily: Global Wind Power Advisory and Competitive Analysis IHS https://t.co/KXnoVeiXZR,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:11,,,
713533226325774336,RT @GreenNewsDaily: Odisha Power Generation Corporation installed rooftop solar power project at ITPS https://t.co/lqBeotQ8Z9,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:09,,,
713533027545169925,RT @GreenNewsDaily: Investments in renewable energy growing across the globe: UNEP report \u2013 Times of India https://t.co/rAj7Akt99S,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:08,,,
713532992690462720,RT @GreenNewsDaily: Saving Sunshine for a Rainy Day: New Catalyst Offers Efficient Storage of Green Energy https://t.co/SCCSgz2dLG,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:08,,,
713532955583496192,RT @GreenNewsDaily: \u00e2\u20ac\u2039Scientists develop a new way of storing green energy - thanks to... https://t.co/ll5RUgVqfh,701075385560203264,Joaqu\u00edn V Espinosa G,,null,2016-03-26 1:08,,,
